RaceID,Year,Round,Race_Name,Date,CircuitID
2014_1,2014,1,Australian Grand Prix,2014-03-16,albert_park
2014_2,2014,2,Malaysian Grand Prix,2014-03-30,sepang
2014_3,2014,3,Bahrain Grand Prix,2014-04-06,bahrain
2014_4,2014,4,Chinese Grand Prix,2014-04-20,shanghai
2014_5,2014,5,Spanish Grand Prix,2014-05-11,catalunya
2014_6,2014,6,Monaco Grand Prix,2014-05-25,monaco
2014_7,2014,7,Canadian Grand Prix,2014-06-08,villeneuve
2014_8,2014,8,Austrian Grand Prix,2014-06-22,red_bull_ring
2014_9,2014,9,British Grand Prix,2014-07-06,silverstone
2014_10,2014,10,German Grand Prix,2014-07-20,hockenheimring
2014_11,2014,11,Hungarian Grand Prix,2014-07-27,hungaroring
2014_12,2014,12,Belgian Grand Prix,2014-08-24,spa
2014_13,2014,13,Italian Grand Prix,2014-09-07,monza
2014_14,2014,14,Singapore Grand Prix,2014-09-21,marina_bay
2014_15,2014,15,Japanese Grand Prix,2014-10-05,suzuka
2014_16,2014,16,Russian Grand Prix,2014-10-12,sochi
2014_17,2014,17,United States Grand Prix,2014-11-02,americas
2014_18,2014,18,Brazilian Grand Prix,2014-11-09,interlagos
2014_19,2014,19,Abu Dhabi Grand Prix,2014-11-23,yas_marina
2015_1,2015,1,Australian Grand Prix,2015-03-15,albert_park
2015_2,2015,2,Malaysian Grand Prix,2015-03-29,sepang
2015_3,2015,3,Chinese Grand Prix,2015-04-12,shanghai
2015_4,2015,4,Bahrain Grand Prix,2015-04-19,bahrain
2015_5,2015,5,Spanish Grand Prix,2015-05-10,catalunya
2015_6,2015,6,Monaco Grand Prix,2015-05-24,monaco
2015_7,2015,7,Canadian Grand Prix,2015-06-07,villeneuve
2015_8,2015,8,Austrian Grand Prix,2015-06-21,red_bull_ring
2015_9,2015,9,British Grand Prix,2015-07-05,silverstone
2015_10,2015,10,Hungarian Grand Prix,2015-07-26,hungaroring
2015_11,2015,11,Belgian Grand Prix,2015-08-23,spa
2015_12,2015,12,Italian Grand Prix,2015-09-06,monza
