RaceID,DriverID,ConstructorID,Starting_Position,Final_Position,Points,Laps,Status,Year
2014_1,rosberg,mercedes,3,1,25.0,57,Finished,2014
2014_1,kevin_magnussen,mclaren,4,2,18.0,57,Finished,2014
2014_1,button,mclaren,10,3,15.0,57,Finished,2014
2014_1,alonso,ferrari,5,4,12.0,57,Finished,2014
2014_1,bottas,williams,15,5,10.0,57,Finished,2014
2014_1,hulkenberg,force_india,7,6,8.0,57,Finished,2014
2014_1,raikkonen,ferrari,11,7,6.0,57,Finished,2014
2014_1,vergne,toro_rosso,6,8,4.0,57,Finished,2014
2014_1,kvyat,toro_rosso,8,9,2.0,57,Finished,2014
2014_1,perez,force_india,16,10,1.0,57,Finished,2014
2014_1,sutil,sauber,13,11,0.0,56,+1 Lap,2014
2014_1,gutierrez,sauber,20,12,0.0,56,+1 Lap,2014
2014_1,chilton,marussia,17,13,0.0,55,+2 Laps,2014
2014_1,jules_bianchi,marussia,18,14,0.0,49,+8 Laps,2014
2014_1,grosjean,lotus_f1,22,15,0.0,43,ERS,2014
2014_1,maldonado,lotus_f1,21,16,0.0,29,ERS,2014
2014_1,ericsson,caterham,19,17,0.0,27,Oil pressure,2014
2014_1,vettel,red_bull,12,18,0.0,3,Engine,2014
2014_1,hamilton,mercedes,1,19,0.0,2,Engine,2014
2014_1,massa,williams,9,20,0.0,0,Collision,2014
2014_1,kobayashi,caterham,14,21,0.0,0,Collision,2014
2014_1,ricciardo,red_bull,2,22,0.0,57,Disqualified,2014
2014_2,hamilton,mercedes,1,1,25.0,56,Finished,2014
2014_2,rosberg,mercedes,3,2,18.0,56,Finished,2014
2014_2,vettel,red_bull,2,3,15.0,56,Finished,2014
2014_2,alonso,ferrari,4,4,12.0,56,Finished,2014
2014_2,hulkenberg,force_india,7,5,10.0,56,Finished,2014
2014_2,button,mclaren,10,6,8.0,56,Finished,2014
2014_2,massa,williams,13,7,6.0,56,Finished,2014
2014_2,bottas,williams,18,8,4.0,56,Finished,2014
2014_2,kevin_magnussen,mclaren,8,9,2.0,55,+1 Lap,2014
2014_2,kvyat,toro_rosso,11,10,1.0,55,+1 Lap,2014
2014_2,grosjean,lotus_f1,15,11,0.0,55,+1 Lap,2014
2014_2,raikkonen,ferrari,6,12,0.0,55,+1 Lap,2014
2014_2,kobayashi,caterham,20,13,0.0,55,+1 Lap,2014
2014_2,ericsson,caterham,22,14,0.0,54,+2 Laps,2014
2014_2,chilton,marussia,21,15,0.0,54,+2 Laps,2014
2014_2,ricciardo,red_bull,5,16,0.0,49,Technical,2014
2014_2,gutierrez,sauber,12,17,0.0,35,Gearbox,2014
2014_2,sutil,sauber,17,18,0.0,32,Electrical,2014
2014_2,vergne,toro_rosso,9,19,0.0,18,Power Unit,2014
2014_2,jules_bianchi,marussia,19,20,0.0,8,Brakes,2014
2014_2,maldonado,lotus_f1,16,21,0.0,7,Engine,2014
2014_2,perez,force_india,14,22,0.0,0,Withdrew,2014
2014_3,hamilton,mercedes,2,1,25.0,57,Finished,2014
2014_3,rosberg,mercedes,1,2,18.0,57,Finished,2014
2014_3,perez,force_india,4,3,15.0,57,Finished,2014
2014_3,ricciardo,red_bull,13,4,12.0,57,Finished,2014
2014_3,hulkenberg,force_india,11,5,10.0,57,Finished,2014
2014_3,vettel,red_bull,10,6,8.0,57,Finished,2014
2014_3,massa,williams,7,7,6.0,57,Finished,2014
2014_3,bottas,williams,3,8,4.0,57,Finished,2014
2014_3,alonso,ferrari,9,9,2.0,57,Finished,2014
2014_3,raikkonen,ferrari,5,10,1.0,57,Finished,2014
2014_3,kvyat,toro_rosso,12,11,0.0,57,Finished,2014
2014_3,grosjean,lotus_f1,16,12,0.0,57,Finished,2014
2014_3,chilton,marussia,21,13,0.0,57,Finished,2014
2014_3,maldonado,lotus_f1,17,14,0.0,57,Finished,2014
2014_3,kobayashi,caterham,18,15,0.0,57,Finished,2014
2014_3,jules_bianchi,marussia,19,16,0.0,56,+1 Lap,2014
2014_3,button,mclaren,6,17,0.0,55,Clutch,2014
2014_3,kevin_magnussen,mclaren,8,18,0.0,40,Clutch,2014
